Country Name,Regional Indicator,Happiness Scores,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption
Liberia,Africa,4.56,0.71,56.10,0.74,0.04,0.86
Palestinian Territories,Asia,4.552800179,0.825295925,62.25,0.645791829,-0.162079096,0.824199975
Uganda,Africa,4.43,0.76,55.71,0.73,0.10,0.84
Chad,Africa,4.42,0.63,48.22,0.59,0.02,0.80
Tunisia,Africa,4.39,0.69,66.90,0.59,-0.22,0.87
Mauritania,Africa,4.37,0.79,57.01,0.55,-0.11,0.75
Sri Lanka,Asia,4.327000141,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756
Congo (Kinshasa),Africa,4.31,0.67,52.90,0.70,0.08,0.81
Swaziland,Africa,4.31,0.77,51.19,0.65,-0.20,0.71
Myanmar,Asia,4.308000088,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316
Comoros,Africa,4.29,0.63,57.35,0.55,0.09,0.78
Togo,Africa,4.19,0.55,54.72,0.65,0.00,0.76
Ethiopia,Africa,4.19,0.74,58.64,0.74,0.04,0.75
Madagascar,Africa,4.17,0.67,59.11,0.56,-0.01,0.82
Egypt,Africa,4.15,0.74,61.78,0.71,-0.20,0.79
Sierra Leone,Africa,3.93,0.64,50.87,0.72,0.09,0.86
Burundi,Africa,3.78,0.49,53.40,0.63,-0.02,0.61
Zambia,Africa,3.76,0.70,55.30,0.81,0.08,0.80
Haiti,North America,3.720799923,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246
Lesotho,Africa,3.65,0.78,48.00,0.74,-0.15,0.86
India,Asia,3.573299885,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692
Malawi,Africa,3.54,0.54,57.59,0.80,0.02,0.73
Yemen,Asia,3.527400017,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724
Botswana,Africa,3.48,0.78,58.92,0.82,-0.25,0.78
Tanzania,Africa,3.48,0.69,57.50,0.82,0.11,0.62
Central African Republic,Africa,3.48,0.32,45.20,0.64,0.08,0.89
Rwanda,Africa,3.31,0.54,61.10,0.90,0.06,0.18
Zimbabwe,Africa,3.30,0.76,55.62,0.71,-0.07,0.81
South Sudan,Africa,2.82,0.55,51.00,0.45,0.02,0.76
Afghanistan,Asia,2.566900015,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554
,,,,,,,
,,5.473239863,,,,,
